id,L,a,b,hex_srgb,in_srgb
235,6.125,25.375,-25.625,#210436,1
236,6.125,95.625,-71.75,#4B0079,0
237,6.25,24.25,-45.5,#000C52,0
238,6.25,40.625,-47.125,#190054,0
239,6.25,49.75,-15.625,#420029,0
240,6.3125,21.75,-33.75,#0D0A41,1
241,6.3125,25.375,-38.75,#070848,1
242,6.3125,26.125,-35.5,#140644,1
243,6.3125,44.375,-59.25,#000066,0
244,6.375,0.5,-0.75,#141415,1
245,6.375,22.375,-21.625,#220731,1
246,6.375,43.125,-26.375,#370038,0
247,6.4375,24.75,-42.0,#000A4D,0
248,6.4375,29.375,-44.125,#000650,0
249,6.4375,30.125,-40.75,#10044C,1
250,6.4375,33.75,-10.875,#350023,0
251,6.4375,37.125,-14.5,#370028,0
252,6.4375,38.875,-21.75,#350032,0
253,6.4375,53.5,-21.75,#440032,0
254,6.4375,102.25,-85.125,#42008F,0
255,6.4375,124.25,-106.5,#3D00B2,0
256,6.5,27.875,-4.125,#32001B,0
257,6.5,29.625,-1.125,#340017,0
258,6.5,35.25,-45.0,#120052,0
259,6.5625,-7.625,-29.0,#001A3B,0
260,6.5625,-5.25,-27.375,#001939,0
261,6.5625,-3.25,-25.375,#001836,0
262,6.5625,-2.25,-32.875,#001941,0
263,6.5625,-1.375,-23.875,#001734,0
264,6.5625,-0.375,-31.0,#00183E,0
265,6.5625,0.375,-22.5,#001632,0
266,6.5625,1.5,-29.5,#00173C,0
267,6.5625,1.875,-21.0,#001530,0
268,6.5625,3.0,-27.625,#001639,0
269,6.5625,3.375,-19.75,#01152F,1
270,6.5625,4.25,-25.5,#001536,0
271,6.5625,4.875,-18.75,#07142D,1
272,6.5625,5.625,-23.875,#001434,0
273,6.5625,6.25,-17.5,#0D132C,1
274,6.5625,7.125,-22.375,#041332,1
275,6.5625,7.75,-16.25,#12122A,1
276,6.5625,8.5,-20.75,#0C1230,1
277,6.5625,9.25,-14.875,#161128,1
278,6.5625,10.0,-19.25,#12112E,1
279,6.5625,10.375,-24.75,#071235,1
280,6.5625,10.875,-13.5,#1A1026,1
281,6.5625,11.5,-17.625,#16102C,1
282,6.5625,11.875,-23.125,#0F1133,1
283,6.5625,12.625,-12.0,#1D0F24,1
284,6.5625,13.125,-21.125,#150F31,1
285,6.5625,13.25,-16.25,#1B0F2A,1
286,6.5625,14.5,-10.375,#210D22,1
287,6.5625,15.25,-14.875,#1F0D28,1
288,6.5625,16.625,-8.75,#240B20,1
289,6.5625,17.125,-13.0,#220B26,1
290,6.5625,18.875,-7.0,#28091E,1
291,6.5625,19.375,-11.25,#260924,1
292,6.5625,21.125,-4.875,#2B061C,1
293,6.5625,23.75,-2.75,#2E0319,1
294,6.5625,28.75,-50.875,#000A5B,0
295,6.5625,36.0,7.625,#3C0007,0
296,6.5625,39.625,10.75,#400000,0
297,6.5625,95.625,-90.25,#260097,0
298,6.625,33.875,-4.75,#38001C,0
299,6.625,34.625,-49.625,#000259,0
300,6.625,51.625,-64.5,#00006F,0
301,6.625,60.0,-46.0,#3B0054,0
302,6.625,64.625,-52.625,#39005E,0
303,6.6875,59.25,-37.75,#410048,0
304,6.6875,64.75,-72.625,#00007C,0
305,6.6875,78.375,-72.75,#2F007C,0
306,6.8125,5.5,-37.5,#001748,0
307,6.8125,33.875,-39.75,#1C004B,0
308,6.875,40.0,-33.625,#2E0043,0
309,6.875,43.125,8.375,#440007,0
310,6.875,46.25,-7.375,#430020,0
311,6.875,51.0,-54.75,#200061,0
312,6.875,70.875,-76.5,#080082,0
313,6.875,73.25,-48.5,#490058,0
314,6.9375,31.875,4.25,#390010,0
