id,L,a,b,hex_srgb,slice_id
6990,12.6875,116.0,-102.625,#4F00BD,203
6993,12.75,39.625,-27.5,#410048,204
7103,13.0,104.375,-84.125,#5D009F,208
7151,13.125,48.5,-11.375,#540033,210
7152,13.125,57.75,-1.875,#600026,210
7279,13.5,-57.125,4.125,#00311C,216
7285,13.5,-52.875,-1.125,#003123,216
7292,13.5,-50.875,5.375,#00301A,216
7324,13.5,-42.375,6.875,#002E18,216
7341,13.5,-39.25,-15.875,#002F38,216
7362,13.5,-36.375,6.125,#002D19,216
7380,13.5,-34.25,-21.25,#002E40,216
7418,13.5,-30.5,9.0,#002C15,216
7432,13.5,-29.125,-26.75,#002D48,216
7485,13.5,-25.0,-31.25,#002D4E,216
7490,13.5,-24.625,10.25,#002A13,216
7562,13.5,-20.125,-1.5,#002924,216
7569,13.5,-19.75,-34.25,#002C53,216
7603,13.5,-18.0,11.5,#092812,216
7671,13.5,-14.5,-37.25,#002B57,216
7777,13.5,-10.125,12.875,#1A2610,216
7927,13.5,-5.125,13.75,#22240E,216
8202,13.5,2.375,15.125,#2C210C,216
8427,13.5,8.375,-20.0,#1C203E,216
8499,13.5,10.5,-1.375,#301D25,216
8794,13.5,21.25,-44.0,#001C62,216
8876,13.5,25.0,-0.25,#411124,216
8882,13.5,25.25,-59.375,#001D79,216
9133,13.5,45.625,-71.0,#000A8B,216
9138,13.5,53.25,22.875,#610000,216
9139,13.5,54.125,-19.375,#58003F,216
9148,13.5,60.25,-80.625,#00009B,216
9151,13.5,62.625,-10.0,#640032,216
9153,13.5,65.5,-22.5,#630043,216
9156,13.5,74.125,-61.375,#50007D,216
9159,13.5,81.5,-61.5,#5A007D,216
9164,13.5,89.875,-97.75,#0D00B7,216
9166,13.5,95.5,-101.0,#1800BC,216
9168,13.5,107.25,-96.5,#4D00B5,216
9177,13.5625,-4.0,-10.75,#0F2531,217
9180,13.5625,0.625,-11.875,#192333,217
9181,13.5625,3.25,-4.75,#242129,217
9184,13.5625,22.375,16.625,#42130A,217
9188,13.5625,35.0,-15.0,#460438,217
9189,13.5625,38.5,14.0,#520011,217
9193,13.5625,46.75,23.375,#5B0000,217
9194,13.5625,50.375,-49.5,#3B006A,217
9202,13.5625,66.625,-45.125,#570064,217
9206,13.5625,73.875,-41.5,#62005F,217
9209,13.5625,81.125,-45.875,#670065,217
9220,13.625,11.5,16.875,#371C09,218
9222,13.625,19.0,-54.875,#002072,218
9224,13.625,33.375,-32.5,#370C51,218
9225,13.625,43.125,-33.75,#430053,218
9227,13.625,47.625,-39.375,#43005B,218
9237,13.625,72.5,-77.875,#2D0097,218
9238,13.625,87.625,-75.75,#510094,218
9241,13.625,94.375,-75.5,#5C0093,218
9243,13.625,98.5,-67.375,#6B0087,218
9247,13.625,113.125,-89.125,#6600A9,218
9249,13.6875,1.875,-37.75,#002658,219
9254,13.6875,16.375,0.125,#381A23,219
9260,13.6875,32.0,-61.625,#00187D,219
9261,13.6875,32.25,-9.625,#450831,219
9262,13.6875,34.625,21.125,#500001,219
9295,13.75,67.25,-29.0,#62004D,220
9297,13.75,106.125,-107.375,#2700C8,220
9313,13.8125,104.5,-75.125,#6B0093,221
9314,13.8125,113.25,-83.125,#6E00A0,221
9327,13.875,77.5,-52.5,#5F0070,222
9367,14.0,74.375,-32.5,#690053,224
9376,14.0625,23.875,-38.0,#1E1A5A,225
9561,14.375,52.125,-62.75,#270081,230
9572,14.4375,-32.875,-15.0,#002F39,231
