id,L,a,b,hex_srgb,in_srgb
347,13.5,-14.5,-37.25,#002B57,0
348,13.5,-10.125,12.875,#1A2610,1
349,13.5,-5.125,13.75,#22240E,1
350,13.5,2.375,15.125,#2C210C,1
351,13.5,8.375,-20.0,#1C203E,1
352,13.5,10.5,-1.375,#301D25,1
353,13.5,21.25,-44.0,#001C62,0
354,13.5,25.0,-0.25,#411124,1
355,13.5,25.25,-59.375,#001D79,0
356,13.5,45.625,-71.0,#000A8B,0
357,13.5,53.25,22.875,#610000,0
358,13.5,54.125,-19.375,#58003F,0
359,13.5,60.25,-80.625,#00009B,0
360,13.5,62.625,-10.0,#640032,0
361,13.5,65.5,-22.5,#630043,0
362,13.5,74.125,-61.375,#50007D,0
363,13.5,81.5,-61.5,#5A007D,0
364,13.5,89.875,-97.75,#0D00B7,0
365,13.5,95.5,-101.0,#1800BC,0
366,13.5,107.25,-96.5,#4D00B5,0
367,13.5625,-4.0,-10.75,#0F2531,1
368,13.5625,0.625,-11.875,#192333,1
369,13.5625,3.25,-4.75,#242129,1
370,13.5625,22.375,16.625,#42130A,1
371,13.5625,35.0,-15.0,#460438,1
372,13.5625,38.5,14.0,#520011,0
373,13.5625,46.75,23.375,#5B0000,0
374,13.5625,50.375,-49.5,#3B006A,0
375,13.5625,66.625,-45.125,#570064,0
376,13.5625,73.875,-41.5,#62005F,0
377,13.5625,81.125,-45.875,#670065,0
378,13.625,11.5,16.875,#371C09,1
379,13.625,19.0,-54.875,#002072,0
380,13.625,33.375,-32.5,#370C51,1
381,13.625,43.125,-33.75,#430053,0
382,13.625,47.625,-39.375,#43005B,0
383,13.625,72.5,-77.875,#2D0097,0
384,13.625,87.625,-75.75,#510094,0
385,13.625,94.375,-75.5,#5C0093,0
386,13.625,98.5,-67.375,#6B0087,0
387,13.625,113.125,-89.125,#6600A9,0
388,13.6875,1.875,-37.75,#002658,0
389,13.6875,16.375,0.125,#381A23,1
390,13.6875,32.0,-61.625,#00187D,0
391,13.6875,32.25,-9.625,#450831,1
392,13.6875,34.625,21.125,#500001,0
393,13.75,67.25,-29.0,#62004D,0
394,13.75,106.125,-107.375,#2700C8,0
395,13.8125,104.5,-75.125,#6B0093,0
396,13.8125,113.25,-83.125,#6E00A0,0
397,13.875,77.5,-52.5,#5F0070,0
398,14.0,74.375,-32.5,#690053,0
399,14.0625,23.875,-38.0,#1E1A5A,1
400,14.375,52.125,-62.75,#270081,0
401,14.4375,-32.875,-15.0,#002F39,0
402,14.4375,-10.375,0.25,#122924,1
403,14.4375,120.5,-98.25,#6600BB,0
404,14.5,39.875,-59.5,#01107C,1
405,14.5625,-45.0,-19.875,#003240,0
